Model,Test MAE,Test RMSE,Test R²
Gradient Boosting,103677.83490577241,173608.12152913716,0.9978425935299011
Random Forest,136526.64049480663,230778.36691709503,0.9961877436851619
Linear Regression,1056529.4280647591,1326519.468497519,0.8740439138184894
